"date","age_cat","n","percent"
2020-07-01,"40 to 59",2,1
2020-07-01,"60+",6,1
2020-07-02,"Under 15",0,NA
2020-07-02,"15 to 39",4,1
2020-07-02,"40 to 59",1,1
2020-07-02,"60+",1,1
2020-07-03,"Under 15",1,1
2020-07-03,"15 to 39",0,NA
2020-07-03,"40 to 59",0,NA
2020-07-03,"60+",1,1
2020-07-04,"Under 15",0,NA
2020-07-04,"15 to 39",1,1
2020-07-04,"40 to 59",0,NA
2020-07-04,"60+",2,1
2020-07-05,"Under 15",0,NA
2020-07-05,"15 to 39",1,1
2020-07-05,"40 to 59",5,1
2020-07-05,"60+",2,1
2020-07-06,"Under 15",0,NA
2020-07-06,"15 to 39",1,1
2020-07-06,"40 to 59",3,1
2020-07-06,"60+",1,1
2020-07-07,"Under 15",0,NA
2020-07-07,"15 to 39",2,1
2020-07-07,"40 to 59",1,1
2020-07-07,"60+",1,1
2020-07-08,"Under 15",0,NA
2020-07-08,"15 to 39",0,NA
2020-07-08,"40 to 59",3,1
2020-07-08,"60+",0,NA
2020-07-09,"Under 15",0,NA
2020-07-09,"15 to 39",2,1
2020-07-09,"40 to 59",2,1
2020-07-09,"60+",4,1
2020-07-10,"Under 15",3,1
2020-07-10,"15 to 39",0,NA
2020-07-10,"40 to 59",0,NA
2020-07-10,"60+",1,1
2020-07-11,"Under 15",0,NA
2020-07-11,"15 to 39",1,1
2020-07-11,"40 to 59",0,NA
2020-07-11,"60+",3,1
2020-07-12,"Under 15",2,1
2020-07-12,"15 to 39",0,NA
2020-07-12,"40 to 59",0,NA
2020-07-12,"60+",1,1
2020-07-13,"Under 15",1,1
2020-07-13,"15 to 39",0,NA
2020-07-13,"40 to 59",1,1
2020-07-13,"60+",1,1
2020-07-14,"Under 15",0,NA
2020-07-14,"15 to 39",0,NA
2020-07-14,"40 to 59",0,NA
2020-07-14,"60+",5,1
2020-07-15,"Under 15",0,NA
2020-07-15,"15 to 39",1,1
2020-07-15,"40 to 59",4,1
2020-07-15,"60+",1,1
2020-07-16,"Under 15",0,NA
2020-07-16,"15 to 39",1,1
2020-07-16,"40 to 59",1,1
2020-07-16,"60+",1,1
2020-07-17,"Under 15",0,NA
2020-07-17,"15 to 39",0,NA
2020-07-17,"40 to 59",2,1
2020-07-17,"60+",5,1
2020-07-18,"Under 15",1,1
2020-07-18,"15 to 39",1,1
2020-07-18,"40 to 59",0,NA
2020-07-18,"60+",2,1
2020-07-19,"Under 15",0,NA
2020-07-19,"15 to 39",2,1
2020-07-19,"40 to 59",0,NA
2020-07-19,"60+",3,1
2020-07-20,"Under 15",0,NA
2020-07-20,"15 to 39",1,1
2020-07-20,"40 to 59",1,1
2020-07-20,"60+",2,1
2020-07-21,"Under 15",1,1
2020-07-21,"15 to 39",2,1
2020-07-21,"40 to 59",2,1
2020-07-21,"60+",7,1
2020-07-22,"Under 15",0,NA
2020-07-22,"15 to 39",2,1
2020-07-22,"40 to 59",3,1
2020-07-22,"60+",4,1
2020-07-23,"Under 15",0,NA
2020-07-23,"15 to 39",3,1
2020-07-23,"40 to 59",1,1
2020-07-23,"60+",3,1
2020-07-24,"Under 15",1,1
2020-07-24,"15 to 39",1,1
2020-07-24,"40 to 59",3,1
2020-07-24,"60+",2,1
2020-07-25,"Under 15",0,NA
2020-07-25,"15 to 39",1,1
2020-07-25,"40 to 59",0,NA
2020-07-25,"60+",2,1
2020-07-26,"Under 15",1,1
2020-07-26,"15 to 39",2,1
2020-07-26,"40 to 59",7,1
2020-07-26,"60+",1,1
2020-07-27,"Under 15",0,NA
2020-07-27,"15 to 39",2,1
2020-07-27,"40 to 59",4,1
2020-07-27,"60+",4,1
2020-07-28,"Under 15",0,NA
2020-07-28,"15 to 39",1,1
2020-07-28,"40 to 59",2,1
2020-07-28,"60+",3,1
2020-07-29,"Under 15",0,NA
2020-07-29,"15 to 39",2,1
2020-07-29,"40 to 59",1,1
2020-07-29,"60+",3,1
2020-07-30,"Under 15",1,1
2020-07-30,"15 to 39",2,1
2020-07-30,"40 to 59",3,1
2020-07-30,"60+",3,1
2020-07-31,"Under 15",0,NA
2020-07-31,"15 to 39",3,1
2020-07-31,"40 to 59",0,NA
2020-07-31,"60+",0,NA
2020-08-01,"Under 15",0,NA
2020-08-01,"15 to 39",4,1
2020-08-01,"40 to 59",1,1
2020-08-01,"60+",5,1
2020-08-02,"Under 15",0,NA
2020-08-02,"15 to 39",2,1
2020-08-02,"40 to 59",1,1
2020-08-02,"60+",2,1
2020-08-03,"Under 15",0,NA
2020-08-03,"15 to 39",2,1
2020-08-03,"40 to 59",2,1
2020-08-03,"60+",4,1
2020-08-04,"Under 15",1,1
2020-08-04,"15 to 39",3,1
2020-08-04,"40 to 59",1,1
2020-08-04,"60+",2,1
2020-08-05,"Under 15",1,1
2020-08-05,"15 to 39",1,1
2020-08-05,"40 to 59",0,NA
2020-08-05,"60+",4,1
2020-08-06,"Under 15",1,1
2020-08-06,"15 to 39",0,NA
2020-08-06,"40 to 59",2,1
2020-08-06,"60+",0,NA
2020-08-07,"Under 15",1,1
2020-08-07,"15 to 39",1,1
2020-08-07,"40 to 59",1,1
2020-08-07,"60+",2,1
2020-08-08,"Under 15",1,1
2020-08-08,"15 to 39",2,1
2020-08-08,"40 to 59",0,NA
2020-08-08,"60+",2,1
2020-08-09,"Under 15",0,NA
2020-08-09,"15 to 39",0,NA
2020-08-09,"40 to 59",2,1
2020-08-09,"60+",2,1
2020-08-10,"Under 15",0,NA
2020-08-10,"15 to 39",2,1
2020-08-10,"40 to 59",0,NA
2020-08-10,"60+",4,1
2020-08-11,"Under 15",1,1
2020-08-11,"15 to 39",1,1
2020-08-11,"40 to 59",2,1
2020-08-11,"60+",1,1
2020-08-12,"Under 15",0,NA
2020-08-12,"15 to 39",2,1
2020-08-12,"40 to 59",0,NA
2020-08-12,"60+",3,1
2020-08-13,"Under 15",0,NA
2020-08-13,"15 to 39",2,1
2020-08-13,"40 to 59",1,1
2020-08-13,"60+",5,1
2020-08-14,"Under 15",1,1
2020-08-14,"15 to 39",3,1
2020-08-14,"40 to 59",1,1
2020-08-14,"60+",1,1
2020-08-15,"Under 15",0,NA
2020-08-15,"15 to 39",1,1
2020-08-15,"40 to 59",0,NA
2020-08-15,"60+",5,1
2020-08-16,"Under 15",1,1
2020-08-16,"15 to 39",0,NA
2020-08-16,"40 to 59",4,1
2020-08-16,"60+",0,NA
2020-08-17,"Under 15",1,1
2020-08-17,"15 to 39",0,NA
2020-08-17,"40 to 59",1,1
2020-08-17,"60+",0,NA
2020-08-18,"Under 15",0,NA
2020-08-18,"15 to 39",1,1
2020-08-18,"40 to 59",0,NA
2020-08-18,"60+",1,1
2020-08-19,"Under 15",0,NA
2020-08-19,"15 to 39",2,1
2020-08-19,"40 to 59",1,1
2020-08-19,"60+",6,1
2020-08-20,"Under 15",0,NA
2020-08-20,"15 to 39",1,1
2020-08-20,"40 to 59",1,1
2020-08-20,"60+",5,1
2020-08-21,"Under 15",0,NA
2020-08-21,"15 to 39",1,1
2020-08-21,"40 to 59",1,1
2020-08-21,"60+",0,NA
2020-08-22,"Under 15",0,NA
2020-08-22,"15 to 39",4,1
2020-08-22,"40 to 59",0,NA
2020-08-22,"60+",3,1
2020-08-23,"Under 15",0,NA
2020-08-23,"15 to 39",2,1
2020-08-23,"40 to 59",3,1
2020-08-23,"60+",1,1
2020-08-24,"Under 15",0,NA
2020-08-24,"15 to 39",2,1
2020-08-24,"40 to 59",4,1
2020-08-24,"60+",0,NA
2020-08-25,"Under 15",2,1
2020-08-25,"15 to 39",0,NA
2020-08-25,"40 to 59",0,NA
2020-08-25,"60+",1,1
2020-08-26,"Under 15",0,NA
2020-08-26,"15 to 39",0,NA
2020-08-26,"40 to 59",4,1
2020-08-26,"60+",5,1
2020-08-27,"Under 15",1,1
2020-08-27,"15 to 39",1,1
2020-08-27,"40 to 59",2,1
2020-08-27,"60+",0,NA
2020-08-28,"Under 15",0,NA
2020-08-28,"15 to 39",1,1
2020-08-28,"40 to 59",2,1
2020-08-28,"60+",1,1
2020-08-29,"Under 15",1,1
2020-08-29,"15 to 39",1,1
2020-08-29,"40 to 59",1,1
2020-08-29,"60+",2,1
2020-08-30,"Under 15",0,NA
2020-08-30,"15 to 39",0,NA
2020-08-30,"40 to 59",0,NA
2020-08-30,"60+",3,1
2020-08-31,"Under 15",0,NA
2020-08-31,"15 to 39",2,1
2020-08-31,"40 to 59",2,1
2020-08-31,"60+",3,1
2020-09-01,"Under 15",1,1
2020-09-01,"15 to 39",4,1
2020-09-01,"40 to 59",4,1
2020-09-01,"60+",5,1
2020-09-02,"Under 15",0,NA
2020-09-02,"15 to 39",3,1
2020-09-02,"40 to 59",1,1
2020-09-02,"60+",2,1
2020-09-03,"Under 15",0,NA
2020-09-03,"15 to 39",1,1
2020-09-03,"40 to 59",0,NA
2020-09-03,"60+",2,1
2020-09-04,"Under 15",0,NA
2020-09-04,"15 to 39",1,1
2020-09-04,"40 to 59",1,1
2020-09-04,"60+",2,1
2020-09-05,"Under 15",0,NA
2020-09-05,"15 to 39",1,1
2020-09-05,"40 to 59",1,1
2020-09-05,"60+",2,1
2020-09-06,"Under 15",0,NA
2020-09-06,"15 to 39",1,1
2020-09-06,"40 to 59",2,1
2020-09-06,"60+",2,1
2020-09-07,"Under 15",1,1
2020-09-07,"15 to 39",3,1
2020-09-07,"40 to 59",3,1
2020-09-07,"60+",2,1
2020-09-08,"Under 15",0,NA
2020-09-08,"15 to 39",0,NA
2020-09-08,"40 to 59",0,NA
2020-09-08,"60+",2,1
2020-09-09,"Under 15",0,NA
2020-09-09,"15 to 39",1,1
2020-09-09,"40 to 59",2,1
2020-09-09,"60+",0,NA
2020-09-10,"Under 15",0,NA
2020-09-10,"15 to 39",1,1
2020-09-10,"40 to 59",4,1
2020-09-10,"60+",0,NA
2020-09-11,"Under 15",1,1
2020-09-11,"15 to 39",2,1
2020-09-11,"40 to 59",0,NA
2020-09-11,"60+",1,1
2020-09-12,"Under 15",1,1
2020-09-12,"15 to 39",2,1
2020-09-12,"40 to 59",1,1
2020-09-12,"60+",3,1
2020-09-13,"Under 15",1,1
2020-09-13,"15 to 39",1,1
2020-09-13,"40 to 59",0,NA
2020-09-13,"60+",1,1
2020-09-14,"Under 15",1,1
2020-09-14,"15 to 39",2,1
2020-09-14,"40 to 59",0,NA
2020-09-14,"60+",4,1
2020-09-15,"Under 15",0,NA
2020-09-15,"15 to 39",4,1
2020-09-15,"40 to 59",1,1
2020-09-15,"60+",2,1
2020-09-16,"Under 15",0,NA
2020-09-16,"15 to 39",3,1
2020-09-16,"40 to 59",0,NA
2020-09-16,"60+",6,1
2020-09-17,"Under 15",1,1
2020-09-17,"15 to 39",1,1
2020-09-17,"40 to 59",0,NA
2020-09-17,"60+",1,1
2020-09-18,"Under 15",0,NA
2020-09-18,"15 to 39",2,1
2020-09-18,"40 to 59",0,NA
2020-09-18,"60+",3,1
2020-09-19,"Under 15",1,1
2020-09-19,"15 to 39",1,1
2020-09-19,"40 to 59",1,1
2020-09-19,"60+",0,NA
2020-09-20,"Under 15",0,NA
2020-09-20,"15 to 39",1,1
2020-09-20,"40 to 59",1,1
2020-09-20,"60+",3,1
2020-09-21,"Under 15",1,1
2020-09-21,"15 to 39",3,1
2020-09-21,"40 to 59",6,1
2020-09-21,"60+",4,1
2020-09-22,"Under 15",1,1
2020-09-22,"15 to 39",1,1
2020-09-22,"40 to 59",2,1
2020-09-22,"60+",0,NA
2020-09-23,"Under 15",1,1
2020-09-23,"15 to 39",3,1
2020-09-23,"40 to 59",0,NA
2020-09-23,"60+",2,1
2020-09-24,"Under 15",0,NA
2020-09-24,"15 to 39",4,1
2020-09-24,"40 to 59",0,NA
2020-09-24,"60+",3,1
2020-09-25,"Under 15",0,NA
2020-09-25,"15 to 39",1,1
2020-09-25,"40 to 59",0,NA
2020-09-25,"60+",5,1
2020-09-26,"Under 15",0,NA
2020-09-26,"15 to 39",1,1
2020-09-26,"40 to 59",2,1
2020-09-26,"60+",2,1
2020-09-27,"Under 15",0,NA
2020-09-27,"15 to 39",0,NA
2020-09-27,"40 to 59",1,1
2020-09-27,"60+",2,1
2020-09-28,"Under 15",0,NA
2020-09-28,"15 to 39",1,1
2020-09-28,"40 to 59",1,1
2020-09-28,"60+",2,1
2020-09-29,"Under 15",0,NA
2020-09-29,"15 to 39",2,1
2020-09-29,"40 to 59",4,1
2020-09-29,"60+",3,1
2020-09-30,"Under 15",0,NA
2020-09-30,"15 to 39",2,1
2020-09-30,"40 to 59",1,1
2020-09-30,"60+",4,1
2020-10-01,"Under 15",1,1
2020-10-01,"15 to 39",2,1
2020-10-01,"40 to 59",0,NA
2020-10-01,"60+",0,NA
2020-10-02,"Under 15",0,NA
2020-10-02,"15 to 39",2,1
2020-10-02,"40 to 59",1,1
2020-10-02,"60+",3,1
2020-10-03,"Under 15",1,1
2020-10-03,"15 to 39",2,1
2020-10-03,"40 to 59",0,NA
2020-10-03,"60+",1,1
2020-10-04,"Under 15",0,NA
2020-10-04,"15 to 39",2,1
2020-10-04,"40 to 59",0,NA
2020-10-04,"60+",2,1
2020-10-05,"Under 15",0,NA
2020-10-05,"15 to 39",1,1
2020-10-05,"40 to 59",1,1
2020-10-05,"60+",0,NA
2020-10-06,"Under 15",0,NA
2020-10-06,"15 to 39",0,NA
2020-10-06,"40 to 59",1,1
2020-10-06,"60+",4,1
2020-10-07,"Under 15",0,NA
2020-10-07,"15 to 39",2,1
2020-10-07,"40 to 59",2,1
2020-10-07,"60+",5,1
2020-10-08,"Under 15",1,1
2020-10-08,"15 to 39",2,1
2020-10-08,"40 to 59",0,NA
2020-10-08,"60+",0,NA
2020-10-09,"Under 15",1,1
2020-10-09,"15 to 39",1,1
2020-10-09,"40 to 59",0,NA
2020-10-09,"60+",0,NA
2020-10-10,"Under 15",1,1
2020-10-10,"15 to 39",1,1
2020-10-10,"40 to 59",3,1
2020-10-10,"60+",0,NA
2020-10-11,"Under 15",0,NA
2020-10-11,"15 to 39",0,NA
2020-10-11,"40 to 59",0,NA
2020-10-11,"60+",3,1
2020-10-12,"Under 15",1,1
2020-10-12,"15 to 39",1,1
2020-10-12,"40 to 59",0,NA
2020-10-12,"60+",1,1
2020-10-13,"Under 15",0,NA
2020-10-13,"15 to 39",2,1
2020-10-13,"40 to 59",2,1
2020-10-13,"60+",0,NA
2020-10-14,"Under 15",0,NA
2020-10-14,"15 to 39",2,1
2020-10-14,"40 to 59",3,1
2020-10-14,"60+",3,1
2020-10-15,"Under 15",0,NA
2020-10-15,"15 to 39",1,1
2020-10-15,"40 to 59",1,1
2020-10-15,"60+",0,NA
2020-10-16,"Under 15",0,NA
2020-10-16,"15 to 39",2,1
2020-10-16,"40 to 59",1,1
2020-10-16,"60+",0,NA
2020-10-17,"Under 15",0,NA
2020-10-17,"15 to 39",1,1
2020-10-17,"40 to 59",0,NA
2020-10-17,"60+",1,1
2020-10-18,"Under 15",0,NA
2020-10-18,"15 to 39",3,1
2020-10-18,"40 to 59",2,1
2020-10-18,"60+",1,1
2020-10-19,"Under 15",0,NA
2020-10-19,"15 to 39",0,NA
2020-10-19,"40 to 59",2,1
2020-10-19,"60+",1,1
2020-10-20,"Under 15",0,NA
2020-10-20,"15 to 39",2,1
2020-10-20,"40 to 59",0,NA
2020-10-20,"60+",2,1
2020-10-21,"Under 15",0,NA
2020-10-21,"15 to 39",1,1
2020-10-21,"40 to 59",2,1
2020-10-21,"60+",1,1
2020-10-22,"Under 15",0,NA
2020-10-22,"15 to 39",1,1
2020-10-22,"40 to 59",1,1
2020-10-22,"60+",0,NA
2020-10-23,"Under 15",0,NA
2020-10-23,"15 to 39",2,1
2020-10-23,"40 to 59",1,1
2020-10-23,"60+",4,1
2020-10-24,"Under 15",2,1
2020-10-24,"15 to 39",0,NA
2020-10-24,"40 to 59",1,1
2020-10-24,"60+",3,1
2020-10-25,"Under 15",2,1
2020-10-25,"15 to 39",3,1
2020-10-25,"40 to 59",0,NA
2020-10-25,"60+",0,NA
2020-10-26,"Under 15",1,1
2020-10-26,"15 to 39",2,1
2020-10-26,"40 to 59",1,1
2020-10-26,"60+",1,1
2020-10-27,"Under 15",0,NA
2020-10-27,"15 to 39",2,1
2020-10-27,"40 to 59",1,1
2020-10-27,"60+",8,1
2020-10-28,"Under 15",1,1
2020-10-28,"15 to 39",1,1
2020-10-28,"40 to 59",1,1
2020-10-28,"60+",1,1
2020-10-29,"Under 15",3,1
2020-10-29,"15 to 39",1,1
2020-10-29,"40 to 59",1,1
2020-10-29,"60+",1,1
2020-10-30,"Under 15",0,NA
2020-10-30,"15 to 39",1,1
2020-10-30,"40 to 59",4,1
2020-10-30,"60+",2,1
2020-10-31,"Under 15",1,1
2020-10-31,"15 to 39",0,NA
2020-10-31,"40 to 59",2,1
2020-10-31,"60+",5,1
2020-11-01,"Under 15",2,1
2020-11-01,"15 to 39",2,1
2020-11-01,"40 to 59",1,1
2020-11-01,"60+",0,NA
2020-11-02,"Under 15",0,NA
2020-11-02,"15 to 39",0,NA
2020-11-02,"40 to 59",2,1
2020-11-02,"60+",2,1
2020-11-03,"Under 15",0,NA
2020-11-03,"15 to 39",2,1
2020-11-03,"40 to 59",0,NA
2020-11-03,"60+",4,1
2020-11-04,"Under 15",0,NA
2020-11-04,"15 to 39",3,1
2020-11-04,"40 to 59",1,1
2020-11-04,"60+",2,1
2020-11-05,"Under 15",1,1
2020-11-05,"15 to 39",1,1
2020-11-05,"40 to 59",2,1
2020-11-05,"60+",1,1
2020-11-06,"Under 15",0,NA
2020-11-06,"15 to 39",2,1
2020-11-06,"40 to 59",0,NA
2020-11-06,"60+",2,1
2020-11-07,"Under 15",0,NA
2020-11-07,"15 to 39",2,1
2020-11-07,"40 to 59",2,1
2020-11-07,"60+",2,1
2020-11-08,"Under 15",1,1
2020-11-08,"15 to 39",1,1
2020-11-08,"40 to 59",1,1
2020-11-08,"60+",1,1
2020-11-09,"Under 15",1,1
2020-11-09,"15 to 39",0,NA
2020-11-09,"40 to 59",1,1
2020-11-09,"60+",4,1
2020-11-10,"Under 15",0,NA
2020-11-10,"15 to 39",2,1
2020-11-10,"40 to 59",1,1
2020-11-10,"60+",3,1
2020-11-11,"Under 15",0,NA
2020-11-11,"15 to 39",5,1
2020-11-11,"40 to 59",1,1
2020-11-11,"60+",4,1
2020-11-12,"Under 15",0,NA
2020-11-12,"15 to 39",0,NA
2020-11-12,"40 to 59",1,1
2020-11-12,"60+",1,1
2020-11-13,"Under 15",1,1
2020-11-13,"15 to 39",0,NA
2020-11-13,"40 to 59",0,NA
2020-11-13,"60+",1,1
2020-11-14,"Under 15",0,NA
2020-11-14,"15 to 39",1,1
2020-11-14,"40 to 59",0,NA
2020-11-14,"60+",3,1
2020-11-15,"Under 15",0,NA
2020-11-15,"15 to 39",2,1
2020-11-15,"40 to 59",1,1
2020-11-15,"60+",2,1
2020-11-16,"Under 15",0,NA
2020-11-16,"15 to 39",1,1
2020-11-16,"40 to 59",1,1
2020-11-16,"60+",3,1
2020-11-17,"Under 15",0,NA
2020-11-17,"15 to 39",2,1
2020-11-17,"40 to 59",2,1
2020-11-17,"60+",2,1
2020-11-18,"Under 15",2,1
2020-11-18,"15 to 39",4,1
2020-11-18,"40 to 59",2,1
2020-11-18,"60+",1,1
2020-11-19,"Under 15",0,NA
2020-11-19,"15 to 39",0,NA
2020-11-19,"40 to 59",0,NA
2020-11-19,"60+",4,1
2020-11-20,"Under 15",2,1
2020-11-20,"15 to 39",3,1
2020-11-20,"40 to 59",1,1
2020-11-20,"60+",3,1
2020-11-21,"Under 15",1,1
2020-11-21,"15 to 39",0,NA
2020-11-21,"40 to 59",2,1
2020-11-21,"60+",0,NA
2020-11-22,"Under 15",0,NA
2020-11-22,"15 to 39",1,1
2020-11-22,"40 to 59",0,NA
2020-11-22,"60+",6,1
2020-11-23,"Under 15",1,1
2020-11-23,"15 to 39",0,NA
2020-11-23,"40 to 59",2,1
2020-11-23,"60+",1,1
2020-11-24,"Under 15",0,NA
2020-11-24,"15 to 39",2,1
2020-11-24,"40 to 59",1,1
2020-11-24,"60+",1,1
2020-11-25,"Under 15",0,NA
2020-11-25,"15 to 39",2,1
2020-11-25,"40 to 59",3,1
2020-11-25,"60+",6,1
2020-11-26,"Under 15",1,1
2020-11-26,"15 to 39",1,1
2020-11-26,"40 to 59",0,NA
2020-11-26,"60+",4,1
2020-11-27,"Under 15",1,1
2020-11-27,"15 to 39",2,1
2020-11-27,"40 to 59",1,1
2020-11-27,"60+",2,1
2020-11-28,"Under 15",0,NA
2020-11-28,"15 to 39",0,NA
2020-11-28,"40 to 59",3,1
2020-11-28,"60+",2,1
2020-11-29,"Under 15",2,1
2020-11-29,"15 to 39",1,1
2020-11-29,"40 to 59",2,1
2020-11-29,"60+",2,1
2020-11-30,"Under 15",1,1
2020-11-30,"15 to 39",0,NA
2020-11-30,"40 to 59",0,NA
2020-11-30,"60+",1,1
2020-12-01,"Under 15",0,NA
2020-12-01,"15 to 39",2,1
2020-12-01,"40 to 59",1,1
2020-12-01,"60+",4,1
2020-12-02,"Under 15",0,NA
2020-12-02,"15 to 39",1,1
2020-12-02,"40 to 59",2,1
2020-12-02,"60+",2,1
2020-12-03,"Under 15",0,NA
2020-12-03,"15 to 39",2,1
2020-12-03,"40 to 59",2,1
2020-12-03,"60+",2,1
2020-12-04,"Under 15",2,1
2020-12-04,"15 to 39",0,NA
2020-12-04,"40 to 59",2,1
2020-12-04,"60+",0,NA
2020-12-05,"Under 15",0,NA
2020-12-05,"15 to 39",3,1
2020-12-05,"40 to 59",1,1
2020-12-05,"60+",1,1
2020-12-06,"Under 15",1,1
2020-12-06,"15 to 39",0,NA
2020-12-06,"40 to 59",2,1
2020-12-06,"60+",2,1
2020-12-07,"Under 15",1,1
2020-12-07,"15 to 39",2,1
2020-12-07,"40 to 59",1,1
2020-12-07,"60+",3,1
2020-12-08,"Under 15",2,1
2020-12-08,"15 to 39",0,NA
2020-12-08,"40 to 59",0,NA
2020-12-08,"60+",0,NA
2020-12-09,"Under 15",0,NA
2020-12-09,"15 to 39",3,1
2020-12-09,"40 to 59",2,1
2020-12-09,"60+",4,1
2020-12-10,"Under 15",1,1
2020-12-10,"15 to 39",0,NA
2020-12-10,"40 to 59",0,NA
2020-12-10,"60+",2,1
2020-12-11,"Under 15",1,1
2020-12-11,"15 to 39",0,NA
2020-12-11,"40 to 59",1,1
2020-12-11,"60+",1,1
2020-12-12,"Under 15",2,1
2020-12-12,"15 to 39",0,NA
2020-12-12,"40 to 59",2,1
2020-12-12,"60+",3,1
2020-12-13,"Under 15",1,1
2020-12-13,"15 to 39",1,1
2020-12-13,"40 to 59",1,1
2020-12-13,"60+",3,1
2020-12-14,"Under 15",0,NA
2020-12-14,"15 to 39",5,1
2020-12-14,"40 to 59",0,NA
2020-12-14,"60+",0,NA
2020-12-15,"Under 15",0,NA
2020-12-15,"15 to 39",0,NA
2020-12-15,"40 to 59",2,1
2020-12-15,"60+",1,1
2020-12-16,"Under 15",3,1
2020-12-16,"15 to 39",1,1
2020-12-16,"40 to 59",3,1
2020-12-16,"60+",3,1
2020-12-17,"Under 15",1,1
2020-12-17,"15 to 39",1,1
2020-12-17,"40 to 59",3,1
2020-12-17,"60+",0,NA
2020-12-18,"Under 15",1,1
2020-12-18,"15 to 39",1,1
2020-12-18,"40 to 59",0,NA
2020-12-18,"60+",1,1
2020-12-19,"Under 15",1,1
2020-12-19,"15 to 39",1,1
2020-12-19,"40 to 59",1,1
2020-12-19,"60+",2,1
2020-12-20,"Under 15",1,1
2020-12-20,"15 to 39",3,1
2020-12-20,"40 to 59",2,1
2020-12-20,"60+",2,1
2020-12-21,"Under 15",1,1
2020-12-21,"15 to 39",0,NA
2020-12-21,"40 to 59",1,1
2020-12-21,"60+",1,1
2020-12-22,"Under 15",1,1
2020-12-22,"15 to 39",2,1
2020-12-22,"40 to 59",2,1
2020-12-22,"60+",0,NA
2020-12-23,"Under 15",1,1
2020-12-23,"15 to 39",0,NA
2020-12-23,"40 to 59",0,NA
2020-12-23,"60+",4,1
2020-12-24,"Under 15",0,NA
2020-12-24,"15 to 39",2,1
2020-12-24,"40 to 59",0,NA
2020-12-24,"60+",5,1
2020-12-25,"Under 15",1,1
2020-12-25,"15 to 39",1,1
2020-12-25,"40 to 59",0,NA
2020-12-25,"60+",3,1
2020-12-26,"Under 15",0,NA
2020-12-26,"15 to 39",1,1
2020-12-26,"40 to 59",2,1
2020-12-26,"60+",2,1
2020-12-27,"Under 15",0,NA
2020-12-27,"15 to 39",1,1
2020-12-27,"40 to 59",3,1
2020-12-27,"60+",1,1
2020-12-28,"Under 15",1,1
2020-12-28,"15 to 39",2,1
2020-12-28,"40 to 59",0,NA
2020-12-28,"60+",3,1
2020-12-29,"Under 15",0,NA
2020-12-29,"15 to 39",1,1
2020-12-29,"40 to 59",3,1
2020-12-29,"60+",4,1
2020-12-30,"Under 15",0,NA
2020-12-30,"15 to 39",1,1
2020-12-30,"40 to 59",2,1
2020-12-30,"60+",0,NA
2020-12-31,"Under 15",0,NA
